frame,entity,pos0,pos1,pos2,pos3,pos4,pos5,ik_tx,ik_ty,home_h,stored0,stored1,stored2,stored3,stored4,stored5,recomp0,recomp1,recomp2,recomp3,recomp4,recomp5,l2meas0,l2meas1,l2meas2,l2meas3,l2meas4,l2meas5,l2exp0,l2exp1,l2exp2,l2exp3,l2exp4,l2exp5
0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
30,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
60,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
90,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
120,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
150,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
180,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
210,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
240,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
270,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
300,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
330,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
360,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
390,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,648.13,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000,723.9000
