Comment,Designator,Footprint,LCSC Part #,Assembly
RVT1E101M0607,C1,CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-R-RD,C3338,SMT
RST220UF25V019,C2,CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-FD,C4747974,SMT
CL31A107MQHNNNE,C3,C1206,C15008,SMT
CC0603KRX7R9BB104,"C4,C5,C6,C8,C9,C10,C13,C16,C17,C18,C20,C21,C26,C27,C28,C29,C30,C36",C0603,C14663,SMT
CL21A106KAYNNNE,"C7,C11,C19,C22,C31",C0805,C15850,SMT
CL10B103KB8NNNC,"C12,C35",C0603,C1589,SMT
CL10A105KB8NNNC,C14,C0603,C15849,SMT
0805X475K100CT,C15,C0805,C123653,SMT
CL10C180JB8NNNC,"C23,C24",C0603,C1647,SMT
CC1206KKX7RDBB102,C25,C1206,C23631,SMT
CL10B223KB8NNNC,C32,C0603,C21122,SMT
CL10B682KB8NNNC,"C33,C34",C0603,C84723,SMT
SS34,"D1,D2,D3",SMA_L4.3-W2.6-LS5.2-RD,C8678,SMT
KT-0805G,"D4,D5",LED0805-R-RD,C2297,SMT
USBLC6-2SC6,D6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C7519,SMT
SMF5.0A,D7,SOD-123FL_L2.7-W1.8-LS3.8-RD,C193402,SMT
BSMD1812-110-16V,F1,F1812,C883148,SMT
2.54-1*3P针,J1,HDR-TH_3P-P2.54-V-M-1,C49257,THT
KF128-5.08-2P-AA,"J2,J9",CONN-TH_P5.08_KF128-5.08-2P,C474952,THT
DS1034-25FUNSI44,"J3,J4,J5,J6,J7,J8",DSUB-TH_25P-P2.77_L77SDB25SOL2,C77833,THT
HR961160C,J10,RJ45-SMD_HR961160C,C55683,SMT
TYPE-C-31-M-12,J11,USB-C_SMD-TYPE-C-31-M-12_1,C165948,SMT-hybrid
CYH125-68UH,L1,IND-SMD_L12.5-W12.5,C7431083,SMT
PBY160808T-601Y-N,L2,L0603,C108301,SMT
0603WAF1002T5E,"R1,R4,R5,R11,R36,R37,R38,R39,R40,R41,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57",R0603,C25804,SMT
0603WAF5101T5E,"R2,R3",R0603,C23186,SMT
0603WAF1001T5E,"R6,R7,R18,R19,R60",R0603,C21190,SMT
0603WAF1242T5E,R10,R0603,C22865,SMT
0603WAF330JT5E,"R12,R13,R14,R15,R16,R17,R20,R21,R22,R23,R24,R25",R0603,C23140,SMT
0603WAF2201T5E,"R30,R31,R32,R33,R34,R35",R0603,C4190,SMT
RC0603FR-0749R9L,"R42,R43,R44,R45",R0603,C114625,SMT
0603WAF1004T5E,R58,R0603,C22935,SMT
0603WAF100JT5E,R59,R0603,C22859,SMT
TS-1088R-02026,"SW1,SW2",SW-SMD_L3.9-W3.0-P4.45,C455280,SMT
ESP32-S3-WROOM-1-N8R2,U2,WIRELM-SMD_ESP32-S3-WROOM-1,C2913204,SMT
AM26LS31CDR,"U3,U4,U5",SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,C6179,SMT
XL1509-5.0E1,U6,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C61063,SMT
AMS1117-3.3,U7,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186,SMT
W5500,U8,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,C32843,SMT
LTV-847S,"U9,U10",SMD-16_L20.0-W6.5-P2.54-LS10.2-BL,C114599,SMT
X322525MOB4SI,Y1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C9006,SMT
