Designator,Mid X,Mid Y,Layer,Rotation,Assembly
C1,96.844mm,167.64mm,Top,0,SMT
C2,128.34mm,169.037mm,Top,0,SMT
C3,139.516mm,163.957mm,Top,180,SMT
C4,107.9mm,154.2mm,Top,0,SMT
C5,127.197mm,158.166mm,Top,0,SMT
C6,145.55mm,160.47mm,Top,0,SMT
C7,131.896mm,158.166mm,Top,180,SMT
C8,29mm,40.06mm,Top,90,SMT
C9,29mm,105.49mm,Top,90,SMT
C10,29mm,170.92mm,Top,90,SMT
C11,25.4mm,34.569mm,Top,0,SMT
C13,104.597mm,43.891mm,Top,0,SMT
C14,144.6mm,84mm,Top,0,SMT
C16,98.623mm,60.251mm,Top,180,SMT
C17,141.62mm,81.2mm,Top,90,SMT
C18,109.6mm,63.3mm,Top,0,SMT
C19,139.4mm,87.6mm,Top,0,SMT
C20,96.083mm,61.242mm,Top,180,SMT
C21,96.083mm,58.194mm,Top,180,SMT
C22,95.067mm,55.146mm,Top,180,SMT
C25,145.19mm,56.2mm,Top,0,SMT
D1,97.225mm,158.166mm,Top,180,SMT
D2,107.766mm,149.86mm,Top,270,SMT
D3,96mm,150.5mm,Top,0,SMT
D4,145mm,151.6mm,Top,0,SMT
D5,145mm,148.4mm,Top,0,SMT
J1,131mm,4mm,Top,0,THT
J2,121mm,4mm,Top,0,THT
J9,110mm,4mm,Top,0,THT
J10,134.329mm,37.008mm,Top,270,SMT
J11,95mm,5mm,Top,0,SMT-hybrid
L1,117.57mm,158.166mm,Top,180,SMT
R1,115.5mm,15mm,Top,180,SMT
R2,88mm,12mm,Top,0,SMT
R3,88mm,16mm,Top,0,SMT
R4,144.6mm,86.6mm,Top,180,SMT
R5,126.38mm,57mm,Top,90,SMT
R6,120.2mm,23.39mm,Top,0,SMT
R7,120.2mm,50.57mm,Top,0,SMT
R10,109.6mm,52.4mm,Top,90,SMT
R11,99.131mm,66.576mm,Top,270,SMT
R12,121.6mm,73.17mm,Top,180,SMT
R13,121.6mm,71.9mm,Top,180,SMT
R14,121.6mm,70.63mm,Top,180,SMT
R15,121.6mm,69.36mm,Top,180,SMT
R16,121.6mm,68.09mm,Top,180,SMT
R17,131.46mm,84mm,Top,90,SMT
R18,139mm,151.6mm,Top,0,SMT
R19,139mm,148.4mm,Top,0,SMT
R20,139.08mm,84mm,Top,90,SMT
R21,137.81mm,84mm,Top,90,SMT
R22,136.54mm,84mm,Top,90,SMT
R23,135.27mm,84mm,Top,90,SMT
R24,128.92mm,84mm,Top,90,SMT
R25,121.6mm,74.44mm,Top,180,SMT
U2,134mm,70mm,Top,270,SMT
U3,34.417mm,34.569mm,Top,0,SMT
U4,34.417mm,100mm,Top,0,SMT
U5,34.417mm,165.43mm,Top,0,SMT
U6,105.734mm,158.166mm,Top,90,SMT
U7,139.476mm,158.166mm,Top,0,SMT
U8,105.151mm,57.508mm,Top,0,SMT
