"Comment","Designator","Footprint","LCSC Part #","Quantity"
"RVT1E101M0607","C1","CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-R-RD","C3338","1"
"RST220UF25V019","C2","CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-FD","C4747974","1"
"CL31A107MQHNNNE","C3","C1206","C15008","1"
"CC0603KRX7R9BB104","C4,C5,C8,C9,C10,C13,C16,C17,C18,C20,C21,C26,C27,C28,C29,C30,C36,C37,C38,C39,C40,C41","C0603","C14663","22"
"CL10A105KB8NNNC","C6,C14","C0603","C15849","2"
"CL21A106KAYNNNE","C7,C11,C19,C22,C31","C0805","C15850","5"
"CL10B103KB8NNNC","C12,C35","C0603","C1589","2"
"CL21A475KAQNNNE","C15,C42","C0805","C1779","2"
"CL10C180JB8NNNC","C23,C24","C0603","C1647","2"
"CC1206KKX7RDBB102","C25","C1206","C23631","1"
"CL10B223KB8NNNC","C32","C0603","C21122","1"
"0603B682K500NT","C33,C34","C0603","C1631","2"
"SS34","D1,D2,D3,D8","SMA_L4.3-W2.6-LS5.2-RD","C8678","4"
"KT-0805G","D4,D5","LED0805-R-RD","C2297","2"
"USBLC6-2SC6","D6","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","C7519","1"
"SMF5.0A","D7","SOD-123FL_L2.7-W1.8-LS3.8-RD","C193402","1"
"BSMD1812-110-16V","F1","F1812","C883148","1"
"2.54-1*3P针","J1","HDR-TH_3P-P2.54-V-M-1","C49257","1"
"KF128-5.08-2P-AA","J2,J9","CONN-TH_P5.08_KF128-5.08-2P","C474952","2"
"DS1034-25FUNSI44","J3,J4,J5,J6,J7,J8","6DOF_R13_CONNFLY_DS1034_25_3P20_NPTH","C77833","6"
"HR961160C","J10","RJ45-SMD_HR961160C","C55683","1"
"TYPE-C-31-M-12","J11","USB-C_SMD-TYPE-C-31-M-12_1","C165948","1"
"CYH125-68UH","L1","IND-SMD_L12.5-W12.5","C7431083","1"
"PBY160808T-601Y-N","L2","L0603","C108301","1"
"0603WAF1002T5E","R1,R4,R5,R11,R36,R37,R38,R39,R40,R41,R66","R0603","C25804","11"
"0603WAF5101T5E","R2,R3","R0603","C23186","2"
"0603WAF1001T5E","R6,R7,R18,R19,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R60,R61,R62,R63,R64,R65","R0603","C21190","22"
"0603WAF1242T5E","R10","R0603","C22865","1"
"0603WAF330JT5E","R12,R13,R14,R15,R16,R17,R20,R21,R22,R23,R24,R25,R69,R70","R0603","C23140","14"
"0603WAF2201T5E","R30,R31,R32,R33,R34,R35","R0603","C4190","6"
"RC0603FR-0749R9L","R42,R43,R44,R45","R0603","C114625","4"
"0603WAF1004T5E","R58","R0603","C22935","1"
"0603WAF100JT5E","R59","R0603","C22859","1"
"RT0603BRD0732KL","R67","R0603","C861325","1"
"RT0603BRD0710KL","R68","R0603","C95204","1"
"TS-1088R-02026","SW1,SW2","SW-SMD_L3.9-W3.0-P4.45","C455280","2"
"ESP32-S3-WROOM-1-N8R2","U2","WIRELM-SMD_ESP32-S3-WROOM-1","C2913204","1"
"AM26LS31CDR","U3,U4,U5","SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL","C6179","3"
"XL1509-5.0E1","U6","SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL","C61063","1"
"LDL1117S33R","U7","SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR","C435835","1"
"W5500","U8","LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL","C32843","1"
"LTV-847S","U9,U10","SMD-16_L20.0-W6.5-P2.54-LS10.2-BL","C114599","2"
"SN74LVC1G74DCUR","U11","6DOF_R13_TI_DCU0008A","C70285","1"
"SN74LVC1G98DCKR","U12,U14","6DOF_R13_TI_DCK0006A","C485081","2"
"TPS389001DSER","U13","WSON-6_L1.5-W1.5-P0.50-TL","C1509297","1"
"X322525MOB4SI","Y1","CRYSTAL-SMD_4P-L3.2-W2.5-BL","C9006","1"
