"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","96.844","167.64","Top","0"
"C2","128.34","169.037","Top","0"
"C3","128","107","Top","180"
"C4","107.9","154.2","Top","0"
"C5","127.197","158.166","Top","0"
"C6","135.3","115","Top","90"
"C7","123.8","112","Top","180"
"C8","29","40.06","Top","90"
"C9","29","105.49","Top","90"
"C10","29","170.92","Top","90"
"C11","25.4","34.569","Top","0"
"C12","111.577","60.226","Top","0"
"C13","104.597","43.891","Top","0"
"C14","144.6","84","Top","0"
"C15","114.117","57.94","Top","0"
"C16","98.623","60.251","Top","180"
"C17","141.62","81.2","Top","90"
"C18","109.6","63.3","Top","0"
"C19","139.4","87.6","Top","0"
"C20","96.083","61.242","Top","180"
"C21","96.083","58.194","Top","180"
"C22","95.067","55.146","Top","180"
"C23","107.233","65.28","Top","270"
"C24","103.017","65.28","Top","270"
"C25","145.19","56.2","Top","0"
"C26","106.1","50.2","Top","270"
"C27","107.6","50.2","Top","270"
"C28","111.577","53.114","Top","270"
"C29","111.577","50.32","Top","270"
"C30","94.305","65.814","Top","0"
"C31","94.305","63.782","Top","0"
"C32","114.706","45.72","Top","0"
"C33","113.03","41.453","Top","0"
"C34","113.03","38.913","Top","0"
"C35","110.896","44.45","Top","0"
"C36","112.5","18","Top","0"
"C37","101","86.8","Top","270"
"C38","96.2","91.8","Top","90"
"C39","98","93.8","Top","270"
"C40","103","95.6","Top","90"
"C41","101","96.2","Top","0"
"C42","136.8","112","Top","90"
"D1","97.225","158.166","Top","180"
"D2","107.766","149.86","Top","270"
"D3","137.5","106","Top","270"
"D4","145","151.6","Top","0"
"D5","145","148.4","Top","0"
"D6","96","12.5","Top","0"
"D7","102","13","Top","0"
"D8","137.5","120","Top","90"
"F1","107.46","16","Top","90"
"J1","131","4","Top","0"
"J2","121","4","Top","0"
"J3","6.426","35.001","Top","270"
"J4","62.408","35.001","Top","90"
"J5","6.426","100","Top","270"
"J6","62.408","100","Top","90"
"J7","6.426","164.998","Top","270"
"J8","62.408","164.998","Top","90"
"J9","110","4","Top","0"
"J10","134.329","37.008","Top","270"
"J11","95","5","Top","0"
"L1","117.57","158.166","Top","180"
"L2","96.591","66.576","Top","270"
"R1","115.5","15","Top","180"
"R2","88","12","Top","0"
"R3","88","16","Top","0"
"R4","144.6","86.6","Top","180"
"R5","126.38","57","Top","90"
"R6","120.2","23.39","Top","0"
"R7","120.2","50.57","Top","0"
"R10","109.6","52.4","Top","90"
"R11","99.131","66.576","Top","270"
"R12","121.6","73.17","Top","180"
"R13","121.6","71.9","Top","180"
"R14","121.6","70.63","Top","180"
"R15","121.6","69.36","Top","180"
"R16","121.6","68.09","Top","180"
"R17","131.46","84","Top","90"
"R18","139","151.6","Top","0"
"R19","139","148.4","Top","0"
"R20","139.08","84","Top","90"
"R21","137.81","84","Top","90"
"R22","136.54","84","Top","90"
"R23","135.27","84","Top","90"
"R24","128.92","84","Top","90"
"R25","121.6","74.44","Top","180"
"R30","72.907","57.404","Top","0"
"R31","77.987","57.404","Top","0"
"R32","83.067","57.404","Top","0"
"R33","88.147","57.404","Top","0"
"R34","72.907","128.524","Top","0"
"R35","77.987","128.524","Top","0"
"R36","72.907","74.168","Top","0"
"R37","77.987","74.168","Top","0"
"R38","83.067","74.168","Top","0"
"R39","88.147","74.168","Top","0"
"R40","72.907","145.288","Top","0"
"R41","77.987","145.288","Top","0"
"R42","100.22","34.964","Top","180"
"R43","100.22","32.512","Top","180"
"R44","107.84","41.6","Top","180"
"R45","107.84","43.18","Top","180"
"R46","29.972","29.083","Top","270"
"R47","37.592","29.083","Top","270"
"R48","38.862","40.056","Top","90"
"R49","31.242","40.056","Top","90"
"R50","29.972","94.488","Top","270"
"R51","37.592","94.488","Top","270"
"R52","38.862","105.486","Top","90"
"R53","31.242","105.486","Top","90"
"R54","29.972","160.02","Top","270"
"R55","37.592","160.02","Top","270"
"R56","38.862","170.917","Top","90"
"R57","31.242","170.917","Top","90"
"R58","104.287","67.846","Top","0"
"R59","110.896","45.72","Top","0"
"R60","112.5","15","Top","0"
"R61","106.6","91.4","Top","0"
"R62","106.6","88.8","Top","180"
"R63","33.782","29.083","Top","270"
"R64","33.782","94.488","Top","270"
"R65","33.782","160.02","Top","270"
"R66","101","98.2","Top","0"
"R67","95.5","98","Top","0"
"R68","95.5","99.5","Top","180"
"R69","127.655","81.3","Top","270"
"R70","126.385","81.3","Top","270"
"SW1","121","14","Top","0"
"SW2","128.5","14","Top","0"
"U2","134","70","Top","270"
"U3","34.417","34.569","Top","0"
"U4","34.417","100","Top","0"
"U5","34.417","165.43","Top","0"
"U6","105.734","158.166","Top","90"
"U7","130","112","Top","0"
"U8","105.151","57.508","Top","0"
"U9","81.28","83.82","Top","0"
"U10","81.28","136.652","Top","0"
"U11","102.5","89.2","Top","0"
"U12","98","89.2","Top","0"
"U13","98","96.2","Top","0"
"U14","103","92.6","Top","0"
"Y1","104.287","70.513","Top","270"
